lop,chu_de_canh_dieu,chu_de_ket_noi_chi_thuc,yeu_cau_can_dat
,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ","CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ","– Nêu được một số dạng lừa đảo phổ biến trên mạng và những biện pháp phòng tránh. – Giao tiếp được trên mạng qua email, chat, mạng xã hội,... và trong môi trường số một cách 
văn minh, phù hợp với các quy tắc và văn hoá ứng xử."
,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,"– Nhận biết được nhu cầu lưu trữ dữ liệu và khai thác thông tin cho bài toán quản lí. 
– Diễn đạt được khái niệm hệ Cơ sở dữ liệu, các khái niệm cơ bản trong mô hình Cơ sở dữ liệu 
quan hệ như quan hệ (bảng), khoá, khoá ngoài, truy vấn, cập nhật dữ liệu,...  
– Nêu được những khái niệm cơ bản của hệ Cơ sở dữ liệu. Giải thích được các khái niệm đó  qua ví dụ minh hoạ. 
– Phân biệt được hai loại kiến trúc hệ Cơ sở dữ liệu là tập trung và phân tán.  
– Nêu được tầm quan trọng và một số biện pháp bảo mật hệ Cơ sở dữ liệu. 
"
,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,"– Trình bày được thông tin hướng nghiệp vềnghề Quản trị cơ sở dữ liệutheo các yếu tố sau:  
+ Những nét sơ lược về công việc chính mà người làm nghề phải thực hiện.  
+ Yêu cầu thiết yếu về kiến thức và kĩ năng cần có để làm nghề. 
+ Ngành học có liên quan ở các bậc học tiếp theo. 
+ Nhu cầu nhân lực của xã hội trong hiện tại và tương lai gần về nghề đó. 
– Tự tìm kiếm và khai thác được thông tin hướng nghiệp (qua các chương trình đào tạo, thông 
báo tuyển dụng nhân lực,...) về một vài ngành nghề khác trong lĩnh vực tin học. 
– Giao lưu được với bạn bè qua các kênh truyền thông số để tham khảo và trao đổi ý kiến về 
những thông tin trên. "
,CHỦ ĐỀ F (ICT). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,"Thực hiện được việc tạo lập Cơ sở dữ liệu cho một bài toán quản lí nhỏ bằng cách sử dụng một 
hệ Quản trị cơ sở dữ liệu quan hệ. Cụ thể là: 
– Tạo được các bảng và chỉ định được khoá cho mỗi bảng, thiết lập được mối quan hệ giữa các 
bảng qua việc chỉ định khoá ngoài. 
– Thực hiện được việc cập nhật Cơ sở dữ liệu. 
– Nêu được một vài tổ chức cần ứng dụng Cơ sở dữ liệu để quản lí hoạt động của mình. 
– Thể hiện được tính cẩn thận, chăm chỉ,trách nhiệm trong việc lưu trữ và quản lí dữ liệu. 
Thực hiện được việc khai thác thông tin trong Cơ sở dữ liệu cho một bài toán quản lí nhỏ bằng 
cách sử dụng một hệ Quản trị cơ sở dữ liệu quan hệ. Cụ thể là: 
– Sử dụng được các truy vấn để tìm kiếm và kết xuất thông tin từ Cơ sở dữ liệu. 
– Nêu được một vài nhận xét so sánh kết quả bài thực hành với một phần mềm quản lí do giáo viên giới thiệu hoặc đã từng biết.  
– Giải thích được tính ưu việt của việc quản lí dữ liệu một cách khoa học nhờ ứng dụng Cơ sở 
dữ liệu. 
– Tìm hiểu được thêm một vài chức năng của hệ Quản trị cơ sở dữ liệu. 


"
,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,CHỦ ĐỀ 7 (ICT). PHẦN MỀM CHỈNH SỬA ẢNH VÀ LÀM VIDEO,"– Thực hiện được các thao tác xử lí ảnh cơ bản: cắt, phóng to, thu nhỏ, di chuyển, tẩy xoá ảnh và tạo ảnh động. 
– Tạo được các đoạn phim, nhập tư liệu từ ảnh và video có sẵn, biên tập được đoạn phim phục vụ học tập và giải trí. 
– Sử dụng được một số công cụ cơ bản biên tập phim: chỉnh sửa hình ảnh, âm thanh, tạo phụ đề, tạo các hiệu ứng chuyển cảnh, căn chỉnh thời gian. 
– Tạo được đoạn phim hoạt hình từ ảnh, có hội thoại giữa các nhân vật và có phụ đề. 
"
,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,CHỦ ĐỀ 6 (CS). KĨ THUẬT LẬP TRÌNH,"– Phát biểu được bài toán sắp xếp và bài toán tìm kiếm. 
– Viết được chương trình cho một vài thuật toán sắp xếp và tìm kiếm.
– Vận dụng được các thuật toán đã học để giải quyết một bài toán cụ thể. 
– Biết được việc kiểm thử giúp lập trình viên phát hiện lỗi, làm tăng độ tin cậy của
chương 
trình nhưng chưa chứng minh được tính đúng của chương trình. 
– Trình bày được sơ lược khái niệm độ phức tạp thời gian của thuật toán và phép toán tích cực. 
Nêu được ví dụ minh hoạ. 
– Vận dụng được những quy tắc thực hành xác định độ phức tạp thời gian của một số thuật toán, chương trình đã biết.
– Giải thích và vận dụng được phương pháp thiết kế chương trình thành các mô đun cho một bài toán cụ thể.  
– Nhận biết được lợi ích của phương pháp nêu trên:Hỗ trợ làm việc đồng thời, dễ dàng bảo trì, phát triển chương trình và tái sử dụng các mô đun. 
– Trình bày được cấu trúc dữ liệu mảng (một và hai chiều) và danh sách liên kết. 
– Tạo được một thư viện nhỏ và viết được chương trình có sử dụng thư viện vừa tạo ra.  
– Viết được chương trình vận dụng những kiến thức tích hợp liên môn để giải quyết vấn đề. 


"
12,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,"– Giải thích được sơ lược về khái niệm Trí tuệ nhân tạo (AI – Artificial Intelligence).  
– Nêu được ví dụ minh hoạ cho một số ứng dụng điển hình của AI như điều khiển tự động, chẩn đoán bệnh, nhận dạng chữ viết tay, nhận dạng tiếng nói và khuôn mặt, trợ lí ảo,... 
– Chỉ ra được một số lĩnh vực của khoa học công nghệ và đời sống đã và đang phát triển mạnh mẽ dựa trên những thành tựu to lớn của AI. 
– Nêu được ví dụ để thấy một hệ thống AI có tri thức, có khả năng suy luận và khả năng học,... 
– Nêu được một cảnh báo về sự phát triển của AI trong tương lai."
,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,CHỦ ĐỀ 2. MẠNG MÁY TÍNH VÀ INTERNET,"– Nêu được chức năng chính của một số thiết bị mạng thông dụng. Ví dụ: Access Point, Switch, Modem. Kết nối được các thiết bị đó với PC.  
– Mô tả sơ lược được vai trò và chức năng của giao thức mạng nói chung và giao thức TCP/IP nói riêng.
– Sử dụng được các chức năng mạng của hệ điều hành để chia sẻ tài nguyên.
– Kết nối được thiết bị di động vào mạng máy tính trong điều kiện phần cứng và phần mềm đã được chuẩn bị đầy đủ.

"
,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HÓA TRONG MÔI TRƯỜNG SỐ","CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ",– Phân tích được ưu và nhược điểm về giao tiếp trong thế giới ảo qua các ví dụ cụ thể. – Phân tích được tính nhân văn trong ứng xử ở một số tình huống tham gia thế giới
,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,CHỦ ĐỀ 4. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,"– Hiểu và giải thích được cấu trúc của một trang web dưới dạng HTML. 
– Sử dụng được các thẻ HTML để trình bày trang web:  
+ Định dạng văn bản, phông chữ, tạo liên kết, danh sách. 
+ Đưa các tệp dữ liệu đa phương tiện vào trang web (Ví dụ: ảnh, âm thanh, video). 
+ Tạo bảng, khung (frame). 
+ Tạo mẫu biểu (form). 
– Hiểu và sử dụng được một số thuộc tính cơ bản của CSS: màu sắc, phông chữ, nền, đường viền, kích cỡ,...
– Sử dụng được các yếu tố của vùng chọn (selector) như class, id, tag,... 
– Sử dụng được CSS làm trang web đẹp, đa dạng và sinh động hơn. 
"
,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,"Trình bày được thông tin hướng nghiệp nhóm nghề Dịch vụ và Quản trị (Sửa chữa và bảo trì máy 
tính, Quản trị mạng, Bảo mật hệ thống thông tin, Quản trị và bảo trì hệ thống) theo các yếu tố sau:  
+ Những nét sơ lược về công việc chính mà người làm nghề phải thực hiện.  
+ Yêu cầu thiết yếu về kiến thức và kĩ năng cần có để làm nghề. 
+ Ngành học có liên quan ở các bậc học tiếp theo. 
+ Nhu cầu nhân lực của xã hội trong hiện tại và tương lai gần về nhóm nghề đó.
– Tự tìm kiếm và khai thác được thông tin hướng nghiệp qua các chương trình đào tạo, thông báo tuyển dụng nhân lực,...) về một vài ngành nghề khác trong lĩnh vực tin học. 
– Giao lưu được với bạn bè qua các kênh truyền thông số để tham khảo và trao đổi ý kiến về những thông tin trên. 
– Nêu được tên một số ngành nghề và lĩnh vực có sử dụng nhân lực tin học, đồng thời giải thích 
được vai trò và công việc của chuyên viên tin học trong một số ngành nghề. 
– Tìm hiểu được thông tin ngành đào tạo của một số cơ sở đào tạo Công nghệ thông tin. "
,CHỦ ĐỀ B (CS). MẠNG MÁY TÍNH VÀ INTERNET,CHỦ ĐỀ 6 (CS). MẠNG MÁY TÍNH VÀ INTERNET,"– Nhận diệnhình dạng và phân biệt được chức năng các thiết bị mạng: Server, Switch, Modem, 
Access Point, cáp mạng.  
– Nêu được khái niệm và ứng dụng của một số loại đường truyền hữu tuyến và vô tuyến thông dụng. 
– Trình bày và giải thích sơ lược được việc thiết kế mạng LAN cho một tổ chức nhỏ, ví dụ cho một trường phổ thông. "
,CHỦ ĐỀ A (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,CHỦ ĐỀ 6 (ICT). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,"– Kết nối được PC với các thiết bị số thông dụng như điện thoại di động, tivicó khả năng kết nối Internet, vòng đeo tay thông minh, thiết bị thực tại ảo,..."
,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,CHỦ ĐỀ 7 (ICT). ỨNG DỤNG TIN HỌC,"– Sử dụng được một số chức năng cơ bản của phần mềm tạo trang web.  
– Tạo được một trang web tĩnh đơn giản gồm một vài thành phần cơ bản: 
+ Menu: bảng chọn chính để liên kết đến các trang web tĩnh khác. 
+ Content:tiêu đề trang, khung hiển thị các bài viết, ảnh đại diện, mẫu biểu (form)."
,CHỦ ĐỀ F (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,CHỦ ĐỀ 7 (CS). GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,"– Nêu được sơ lược về mục tiêu và một số thành tựu của Khoa học dữ liệu, nêu được ví dụ minh hoạ. 
– Biết được vai trò của máy tính đối với sự phát triển của Khoa học dữ liệu.  
– Biết được tính ưu việt trong việc sử dụng máy tính và thuật toán hiệu quả để xử lí khối dữ liệu 
lớn, nêu được ví dụ minh hoạ. 
– Nêu được trải nghiệm của bản thân trong việc trích rút thông tin và tri thức hữu ích từ dữ liệu đã có.  
– Giải thích được sơ lược về khái niệm Học máy.  
– Nêu được vai trò của Học máy trong những công việc như lọc thư rác, chẩn đoán bệnh, phân tích thị 
trường, nhận dạng tiếng nói và chữ viết, dịch tự động,... 
– Nêu được một vài lĩnh vực trong đời sống có sử dụng kĩ thuật mô phỏng. 
– Nêu được một vài vấn đề thực tế mà ở đó có thể cần dùng kĩ thuật mô phỏng để giải quyết. 
– Sử dụng và giải thích được lợi ích của một vài phần mềm mô phỏng.  
"
