ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Kết nối tri thức với cuộc sống,,10,"CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ",Lý thuyết,Bài 11. Ứng xử trên môi trường số. Nghĩa vụ tôn trọng bản quyền,"Nêu được những vấn đề nảy sinh về đạo đức, pháp luật và văn hoá khi giao tiếp qua mạng trở nên phổ biến.
Giải thích được một số nội dung pháp lí liên quan tới việc đưa tin lên mạng và tôn trọng bản quyền thông tin, sản phẩm số.",NLb,"NLa, NLc, NLd, NLe","Những vấn đề đạo đức, pháp luật và văn hoá",Một số quy định pháp lí đối với người dùng trên mạng,Quyền tác giả và bản quyền,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 4. ỨNG DỤNG TIN HỌC,Lý thuyết,Bài 12. Phần mềm thiết kế đồ hoạ,"Biết được khái niệm về thiết kế đồ hoạ, phân biệt được đồ hoạ vectơ và đồ hoạ điểm ảnh.
Sử dụng được các chức năng cơ bản của phần mềm thiết kế đồ hoạ Inkscape để vẽ hình đơn giản.","NLa, NLe, NLc","NLb, NLd",Thiết kế đồ hoạ,Phần mềm đồ hoạ,Các đối tượng đồ hoạ của hình vẽ,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 4. ỨNG DỤNG TIN HỌC,Lý thuyết,Bài 13. Bổ sung các đối tượng đồ hoạ,"Biết và sử dụng được một số chức năng của các lệnh tạo, điều chỉnh các đối tượng đồ hoạ đơn giản.","NLa, NLe, NLc","NLb, NLd",Các đối tượng hình khối,"Thiết lập màu tô, màu vẽ và tô màu cho đối tượng",Các phép ghép đối tượng đồ hoạ,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 4. ỨNG DỤNG TIN HỌC,Lý thuyết,Bài 14. Làm việc với đối tượng đường và văn bản,"Biết các thao tác chỉnh sửa hình.
Thực hiện được việc vẽ, chỉnh sửa hình để được đường cong mong muốn.","NLa, NLe, NLc","NLb, NLd",Làm quen với đối tượng dạng đường,Sử dụng công cụ tinh chỉnh đường,Đối tượng văn bản,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 4. ỨNG DỤNG TIN HỌC,Thực hành,Bài 15. Hoàn thiện hình ảnh đồ hoạ,"Tạo được sản phẩm số đơn giản, hữu ích và thực tế như thiết kế logo, tạo banner, topic quảng cáo, băng-rôn, áp phích, poster và thiệp chúc mừng....","NLa, NLe, NLc","NLb, NLd",Vẽ nền,Vẽ dây cờ tam giác,Vẽ sách và giá sách,Nhập các đoạn văn bản,Nhập các đoạn văn bản,Vẽ đoạn nét đứt nằm giữa thời gian và địa điểm,Xuất sản phẩm hoàn thiện ra định dạng đồ hoạ điểm ảnh
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 16. Ngôn ngữ lập trình bậc cao và Python,"Biết khái niệm ngôn ngữ lập trình bậc cao và ngôn ngữ lập trình bậc cao Python.
Phân biệt được chế độ gõ lệnh trực tiếp và chế độ soạn thảo chương trình trong môi trường lập trình Python.
Biết cách tạo và thực hiện một chương trình Python.",NLc,"NLa, NLb, NLd, NLe",Ngôn ngữ lập trình bậc cao,Môi trường lập trình Python,Một số lệnh Python đầu tiên,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 17. Biến và lệnh gán,"Biết cách thiết lập biến. Phân biệt được biến và từ khoá.
Biết sử dụng lệnh gán và thực hiện một số phép toán trên kiểu số nguyên, số thực và xâu kí tự.",NLc,"NLa, NLb, NLd, NLe",Biến và lệnh gán,Các phép toán trên một số kiểu dữ liệu cơ bản,Từ khoá,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 18. Các lệnh vào ra đơn giản,"Biết và thực hiện được một số lệnh vào, ra đơn giản.
Thực hiện được một số chuyển đổi dữ liệu giữa các kiểu dữ liệu cơ bản.",NLc,"NLa, NLb, NLd, NLe",Các lệnh vào ra đơn giản,Chuyển đổi kiểu dữ liệu cơ bản của Python,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 19. Câu lệnh rẽ nhánh if,"Biết và trình bày được các phép toán với kiểu dữ liệu lôgic.
Sử dụng được lệnh rẽ nhánh if trong lập trình.",NLc,"NLa, NLb, NLd, NLe",Biểu thức lôgic,Lệnh if,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 20. Câu lệnh lặp for,"Biết được ý nghĩa của vùng giá trị tạo bởi lệnh range().
Biết được chức năng của lệnh lặp for và cách dùng trong Python.",NLc,"NLa, NLb, NLd, NLe",Lệnh for,Lệnh range,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 21. Câu lệnh lặp while,"Biết và thực hành giải các bài toán sử dụng lệnh lặp while với số lần không biết trước.
Biết ba cấu trúc lập trình cơ bản: tuần tự, rẽ nhánh, lặp.",NLc,"NLa, NLb, NLd, NLe",Lệnh while,Cấu trúc lập trình,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 22. Kiểu dữ liệu danh sách,"Biết được kiểu dữ liệu danh sách (list), cách khởi tạo và truy cập từng phần tử của danh sách.
Biết và thực hiện được cách duyệt các phần tử của danh sách bằng lệnh for.
Thực hành được một số phương thức đơn giản trên dữ liệu danh sách.",NLc,"NLa, NLb, NLd, NLe",Kiểu dữ liệu danh sách,Duyệt các phần tử của danh sách,Thêm phần tử vào danh sách,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 23. Một số lệnh làm việc với dữ liệu danh sách,"Biết cách duyệt danh sách bằng toán tử in.
Biết và thực hiện được một số phương thức thường dùng với danh sách.",NLc,"NLa, NLb, NLd, NLe",Duyệt danh sách với toán tử in,Một số lệnh làm việc với danh sách,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 24. Xâu kí tự,"Hiểu được xâu kí tự là kiểu dữ liệu cơ bản của Python.
Biết và thực hiện được lệnh for để xử lí xâu kí tự.",NLc,"NLa, NLb, NLd, NLe",Xâu là một dãy các kí tự,Lệnh duyệt kí tự của xâu,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 25. Một số lệnh làm việc với xâu kí tự,Biết và thực hiện được một số lệnh thường dùng với xâu kí tự.,NLc,"NLa, NLb, NLd, NLe",Xâu con và lệnh tìm vị trí xâu con,Một số lệnh thường dùng với xâu kí tự,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 26. Hàm trong Python,"Biết được chương trình con là hàm.
Biết cách tạo hàm.",NLc,"NLa, NLb, NLd, NLe",Một số hàm thiết kế sẵn của Python,Thiết lập các hàm tự định nghĩa,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 27. Tham số của hàm,"Biết cách thiết lập các tham số của hàm. Hiểu được cách truyền giá trị thông qua đối số hàm.
Biết viết chương trình có sử dụng chương trình con.",NLc,"NLa, NLb, NLd, NLe",Tham số và đối số của hàm,Cách sử dụng chương trình con,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 28. Phạm vi của biến,Biết và trình bày được ý nghĩa của phạm vi hoạt động của biến trong chương trình và hàm.,NLc,"NLa, NLb, NLd, NLe",Phạm vi của biến khai báo trong hàm,Phạm vi của biến khai báo ngoài hàm,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 29. Nhận biết lỗi chương trình,"Biết và phân loại được một số loại lỗi chương trình.
Biết được một vài lỗi ngoại lệ thường gặp.",NLc,"NLa, NLb, NLd, NLe",Nhận biết lỗi chương trình,Một số lỗi ngoại lệ thường gặp,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Lý thuyết,Bài 30. Kiểm thử và gỡ lỗi chương trình,"Biết được một vài phương pháp đơn giản kiểm thử chương trình.
Biết được một vài cách gỡ lỗi đơn giản một chương trình.",NLc,"NLa, NLb, NLd, NLe",Một vài phương pháp kiểm thử chương trình,Ví dụ minh hoạ,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Thực hành,Bài 31. Thực hành viết chương trình đơn giản,"Thực hành viết chương trình đơn giản bằng ngôn ngữ Python.
Thực hành được các bước gỡ rối chương trình bằng công cụ debug - thiết lập điểm dừng và chạy theo từng lệnh.",NLc,"NLa, NLb, NLd, NLe",Kiểm tra số nguyên tố và phân tích thành thừa số nguyên tố,Giải phương trình bậc hai,,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 5. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH,Thực hành,Bài 32. Ôn tập lập trình Python,"Thực hành ôn tập lập trình Python.
Thực hành lập trình giải bài toán có tính liên môn.",NLc,"NLa, NLb, NLd, NLe",Trọng lượng của em trên các hành tinh khác,"Kiểm tra tính hợp lệ của ba tham số ngày, tháng, năm",,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 6. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 33. Nghề thiết kế đồ hoạ máy tính,"Biết được khái niệm, kiến thức và kĩ năng cần có của nghề thiết kế đồ hoạ.
Biết các ngành học và nhu cầu nhân lực liên quan đến nghề thiết kế đồ hoạ.
Tự tìm kiếm và khai thác được thông tin hướng nghiệp về lĩnh vực thiết kế đồ hoạ, giao lưu và chia sẻ với bạn bè qua các kênh truyền thông tin số về thông tin nghề nghiệp.","NLd, NLe, NLb","NLa, NLc",Khái niệm về thiết kế đồ hoạ,"Kiến thức, kĩ năng cần có của người thiết kế đồ hoạ",Học tập và việc làm trong ngành thiết kế đồ hoạ,,,,
Kết nối tri thức với cuộc sống,,10,CHỦ ĐỀ 6. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 34. Nghề phát triển phần mềm,"Hiểu được khái niệm nghề phát triển phần mềm và một số kiến thức, kĩ năng cần có của người làm nghề phát triển phần mềm.
Biết các ngành học ở bậc đại học, cao đẳng liên quan đến phát triển phần mềm và cơ hội nghề nghiệp liên quan đến phát triển phần mềm.","NLd, NLe, NLb","NLa, NLc",Phát triển phần mềm là gì?,"Kiến thức, kĩ năng của người phát triển phần mềm",Công việc phát triển phần mềm,,,,
Cánh diều,,10,CHỦ ĐỀ A: MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Lý thuyết,"Bài 1: Dữ liệu, thông tin và xử lí thông tin","Biết được thông tin là gì, dữ liệu là gì. 
Phân biệt được thông tin và dữ liệu, nêu được ví dụ minh hoạ. 
Biết được xử lí thông tin là gì.","NLa, NLe","NLb, NLc, NLd",Nguồn thông tin và dữ liệu,Quan hệ giữa thông tin và dữ liệu,Phân biệt dữ liệu với thông tin,Tin học và xử lí thông tin trong tin học,Các bước xử lí thông tin của máy tính,Tháp dữ liệu – thông tin – tri thức,
Cánh diều,,10,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Lý thuyết,Bài 2: Sự ưu việt của máy tính và những thành tựu của tin học,"Nêu được sự ưu việt của việc lưu trữ, xử lí và truyền thông tin bằng thiết bị số. 
Chuyển đổi được giữa các đơn vị lưu trữ dữ liệu. 
Giới thiệu được các thành tựu nổi bật ở một số mốc thời gian để minh hoạ sự phát triển của ngành tin học.","NLa, NLe","NLb, NLc, NLd",Sự ưu việt của máy tính,Những thành tựu của tin học,,,,,
Cánh diều,,10,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Thực hành,Bài 3: Thực hành sử dụng thiết bị số,"Biết được các thao tác sử dụng máy tính đúng cách và thực hiện được các thao tác đó. 
Sử dụng được các chức năng cơ bản của điện thoại thông minh.","NLa, NLe","NLb, NLc, NLd",Thực hành sử dụng máy tính đúng cách,Thực hành khai thác tính năng mở rộng của điện thoại thông minh,,,,,
Cánh diều,,10,CHỦ ĐỀ A. MÁY TÍNH VÀ XÃ HỘI TRI THỨC ,Lý thuyết,Bài 4: Tin học trong phát triển kinh tế – xã hội,"Trình bày được những đóng góp cơ bản của tin học đối với xã hội, nêu được ví dụ minh hoạ. 
Nhận biết được một vài thiết bị số thông dụng khác ngoài máy tính để bàn và máy tính xách tay, giải thích được các thiết bị đó cũng là những hệ thống xử lí thông tin. 
Nêu được đặc trưng của Cách mạng công nghiệp lần thứ tư. 
Giải thích được vai trò của những thiết bị thông minh đối với sự phát triển của xã hội và cuộc Cách mạng công nghiệp lần thứ tư.","NLa, NLe","NLb, NLc, NLd",Các ứng dụng công nghệ thông tin,Xã hội tri thức và kinh tế tri thức,Khai thác tri thức từ dữ liệu,Đồ dùng và thiết bị thông minh,Các cuộc cách mạng công nghiệp,Internet vạn vật và máy móc thông minh trong Cách mạng công nghiệp lần thứ tư,
Cánh diều,,10,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Lý thuyết,Bài 1: Mạng máy tính với cuộc sống,"Trình bày được những thay đổi về chất lượng cuộc sống, phương thức học tập và làm việc mà mạng máy tính đem lại. 
Nêu được những nguy cơ và tác hại mà Internet có thể gây ra. 
Trình bày được một số cách đề phòng những tác hại đó. 
Nêu được một vài cách phòng vệ khi bị bắt nạt trên mạng. 
Biết cách tự bảo vệ dữ liệu của cá nhân. 
Trình bày được sơ lược về phần mềm độc hại. 
Sử dụng được một số công cụ thông dụng để ngăn ngừa và diệt phần mềm độc hại.","NLa, NLb, NLe","NLc, NLd",Mạng máy tính thay đổi thế giới,Những tác động tiêu cực của Internet,Lây nhiễm phần mềm độc hại từ Internet,,,,
Cánh diều,,10,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Lý thuyết,Bài 2: Điện toán đám mây và Internet vạn vật,"So sánh được mạng LAN và Internet. 
Nêu được một số dịch vụ cụ thể mà Điện toán đám mây cung cấp cho người dùng. 
Nêu được khái niệm Internet vạn vật (Internet of Things - IoT). 
Nêu được ví dụ cụ thể về thay đổi trong cuộc sống mà IoT đem lại. 
Phát biểu được ý kiến cá nhân về ích lợi của IoT.","NLa, NLb, NLe","NLc, NLd",So sánh mạng LAN và Internet,Điện toán đám mây,Internet vạn vật,,,,
Cánh diều,,10,CHỦ ĐỀ B. MẠNG MÁY TÍNH VÀ INTERNET ,Thực hành,Bài 3: Thực hành một số ứng dụng của mạng máy tính,"Hiểu rõ hơn dịch vụ Điện toán đám mây thông qua việc sử dụng một dịch vụ đơn giản. 
Sử dụng được một số chức năng xử lí thông tin trên máy tính cá nhân và thiết bị số, ví dụ, dịch tự động văn bản hay tiếng nói. 
Khai thác được một số nguồn học liệu mở trên Internet. 
Thực hiện được một số cách đề phòng tác hại từ Internet. 
Thực hiện được một vài cách thông dụng để tự bảo vệ dữ liệu của cá nhân. 
Sử dụng được một số công cụ thông dụng để ngăn ngừa và diệt phần mềm độc hại.","NLa, NLb, NLe","NLc, NLd",Khai thác nguồn học liệu mở trên Internet,Dịch tự động trên Internet,Tìm hiểu và sử dụng dịch vụ lưu trữ trên Điện toán đám mây,Phòng chống vấn nạn bắt nạt qua mạng,Sử dụng phần mềm diệt virus,,
Cánh diều,,10,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ ",Lý thuyết,Bài 1: Tuân thủ pháp luật trong môi trường số,"Nêu được một số vấn đề nảy sinh về pháp luật, đạo đức, văn hoá khi việc giao tiếp qua mạng trở nên phổ biến. 
Nêu được ví dụ minh hoạ sự vi phạm bản quyền thông tin và sản phẩm số. Qua ví dụ đó giải thích được sự vi phạm đã diễn ra thế nào và có thể dẫn tới hậu quả gì. 
Trình bày và giải thích được một số nội dung cơ bản của Luật Công nghệ thông tin, Nghị định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ công nghệ thông tin, Luật An ninh mạng. Nêu được ví dụ minh hoạ. 
Giải thích được một số khía cạnh pháp lí của vấn đề bản quyền, của việc sở hữu, sử dụng và trao đổi thông tin trong môi trường số. Nêu được ví dụ minh hoạ. 
Nêu được ví dụ về những tác hại của việc chia sẻ và phổ biến thông tin một cách bất cẩn.",NLb,"NLa, NLc, NLd, NLe",Bản quyền thông tin và sản phẩm số,Tác hại của sự bất cẩn khi chia sẻ thông tin qua Internet,,,,,
Cánh diều,,10,"CHỦ ĐỀ D. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ ",Thực hành,Bài 2: Thực hành vận dụng một số điều luật về chia sẻ thông tin trong môi trường số,"Vận dụng được Luật và Nghị định về quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ công nghệ thông tin, Luật An ninh mạng để xác định được tính hợp pháp của một hành vi nào đó trong lĩnh vực quản lí, cung cấp, sử dụng các sản phẩm và dịch vụ công nghệ thông tin. 
Nêu được một vài biện pháp đơn giản và thông dụng để nâng cao tính an toàn và hợp pháp của việc chia sẻ thông tin trong môi trường số.",NLb,"NLa, NLc, NLd, NLe",Bài 1: Xác định tính hợp pháp trong cung cấp sản phẩm số,Bài 2: Nhận biết sự vi phạm Luật Sở hữu trí tuệ,Bài 3: Nhận biết tính hợp pháp trong chia sẻ thông tin số,Bài 4: Nhận biết tính an toàn trong chia sẻ thông tin số,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 1: Làm quen với ngôn ngữ lập trình bậc cao,"Giải thích được vì sao chúng ta cần lập trình và cần có ngôn ngữ lập trình bậc cao. 
Giới thiệu được sơ lược về Python – một ngôn ngữ lập trình bậc cao thông dụng. 
Bắt đầu chạy được một vài chương trình tính toán đơn giản trong môi trường Python.",NLc,"NLa, NLe, NLb, NLd",Ngôn ngữ lập trình bậc cao,Làm quen với Python,,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,"Bài 2: Biến, phép gán và biểu thức số học","Nêu được vai trò của biến và phép gán. 
Đặt được tên cho biến, sử dụng được phép gán và cách đưa ra giá trị của biến trong Python. 
Làm quen được với cửa sổ Code trong Python để soạn thảo, lưu và thực hiện chương trình.",NLc,"NLa, NLe, NLb, NLd",Biến và phép gán,Soạn thảo chương trình,,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 3: Thực hành làm quen và khám phá Python,"Viết và thực hiện được một vài chương trình Python đơn giản có sử dụng biểu thức số học. 
Bước đầu nhận thấy được cách báo lỗi của Python. 
Biết được Python dùng màu sắc để hỗ trợ người dùng. 
Viết được câu lệnh nhập dữ liệu là một dòng chữ.",NLc,"NLa, NLe, NLb, NLd",Bài 1: Tổng bình phương ba số,Bài 2: Làm quen với hai cửa sổ lập trình của Python,Bài 3: Làm quen với thông báo lỗi của Python,Bài 4: Tìm hiểu Python sử dụng màu sắc trong chương trình,Bài 5: Làm quen với nhập dữ liệu là một dòng chữ,Bài 5: Làm quen với nhập dữ liệu là một dòng chữ,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 4: Các kiểu dữ liệu số và câu lệnh vào – ra đơn giản,"Viết được câu lệnh đơn giản để nhập dữ liệu kiểu số nguyên, số thực trong Python. 
Viết được câu lệnh đưa ra kết quả trong Python. 
Nêu được ví dụ về hằng trong chương trình.",NLc,"NLa, NLe, NLb, NLd",Kiểu dữ liệu số nguyên và số thực,Các câu lệnh vào – ra đơn giản,Hằng trong Python,,,,
